date,fnsku,asin,msku,title,event_type,reference_id,quantity,fulfillment_center,disposition,reason,country,reconciled_quantity,unreconciled_quantity,date_and_time,reason_descripcion,reason_categoria
2025-04-07 00:00:00+00:00,X00231GYQL,B0D87X42RN,4R-VSV0-WZ9Z,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQRHT3,B0BTDTN52N,TUBOX3-PINK,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,WhseTransfers,No reference ID,1,MAD7,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,WhseTransfers,No reference ID,-1,MAD4,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,CustomerReturns,No reference ID,1,MAD4,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,WhseTransfers,No reference ID,1,HAM2,SELLABLE,0,DE,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-07 00:00:00+00:00,X000GERVU5,B0183RZ2VI,IB-IKLG-TV8H,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,CustomerReturns,No reference ID,1,MXP5,DEFECTIVE,0,IT,0,0,2025-04-07 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-2,OVD1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,CustomerReturns,No reference ID,1,MAD4,CUSTOMER_DAMAGED,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-06 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-06 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-05 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-05 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,SVQ1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X002326XGB,B0786KK4TG,MD-R60M-OYR1,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQRHT3,B0BTDTN52N,TUBOX3-PINK,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQRHT3,B0BTDTN52N,TUBOX3-PINK,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,WhseTransfers,No reference ID,-1,WRO1,SELLABLE,0,PL,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,CustomerReturns,No reference ID,1,WRO1,SELLABLE,0,PL,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,Shipments,No reference ID,-1,OVD1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,WhseTransfers,No reference ID,1,MAD7,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,WhseTransfers,No reference ID,-1,BTS2,SELLABLE,0,SK,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7KJ,B0BTDS4GYS,TUBOX4-CRY-SB,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,CustomerReturns,No reference ID,1,BTS2,SELLABLE,0,SK,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,BCN4,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,BCN4,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X001PQP7JP,B0BTDTVCG2,TUBOX3-WHI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,Shipments,No reference ID,-1,BCN4,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,RMU1,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-04 00:00:00+00:00,X0013ZBBK7,B07ZTHSVCK,UG-965T-RORR,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,Shipments,No reference ID,-1,MAD7,SELLABLE,0,ES,0,0,2025-04-04 00:00:00+00:00,Otro,Otro
2025-04-03 00:00:00+00:00,X0029UNF77,B0BTDS4GYS,amzn.gr.TUBOX4-CRY-SB-8qsTjCHh-850KrB-LN,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,WhseTransfers,No reference ID,1,MAD7,SELLABLE,0,ES,0,0,2025-04-03 00:00:00+00:00,Otro,Otro
